好雨时节 호우시절,3,23240,6.70%,24.80%,51.40%,14.40%,2.70%,6618,203,剧情/爱情,韩国 / 中国,汉语普通话 / 英语 / 韩语,2009,100,148736
我叫刘跃进,3,18371,4.90%,26.90%,53.10%,12.60%,2.60%,2101,198,剧情,中国,汉语普通话,2008,85,117574.4
恋爱中的宝贝,3,16529,8.10%,21.30%,48.00%,18.20%,4.40%,2096,67,剧情/爱情/悬疑,中国,汉语普通话,2004,95,102479.8
走着瞧,4,12778,16.20%,52.50%,28.90%,2.00%,0.40%,3053,104,剧情,中国,中文,2009,100,97112.8
爱得起,3,16647,2.70%,13.70%,55.10%,23.30%,5.20%,2062,138,喜剧/爱情,香港 / 中国,粤语 / 汉语普通话,2009,90,94887.9
剑蝶,3,18715,2.80%,6.70%,36.90%,36.20%,17.50%,3082,196,动作/爱情,香港 / 中国,粤语,2008,102,89832
火星没事,3,18313,1.80%,8.20%,40.10%,31.60%,18.20%,3105,60,喜剧/儿童,中国,汉语普通话,2009,93,89733.7
一路有你,3,13746,3.90%,17.00%,56.10%,19.30%,3.80%,3607,146,剧情/爱情,香港 / 中国,汉语普通话 / 粤语,2010,108,82476
蝴蝶飞,3,13527,3.00%,12.50%,49.30%,27.70%,7.50%,1984,177,剧情/爱情,香港 / 中国,粤语 / 普通话,2008,88,74398.5
气喘吁吁,2,16269,2.90%,6.30%,19.50%,30.70%,40.60%,4369,296,剧情/喜剧,中国,普通话 / 英语,2009,90,65076
一江春水向东流,4,7355,36.80%,49.10%,13.30%,0.60%,0.20%,1905,72,剧情,中国,汉语普通话,0,192,61782
紧急迫降,3,8307,6.40%,24.40%,53.70%,11.90%,3.60%,1432,12,动作/灾难,中国,汉语普通话,0,114,53164.8
跳出去,3,9221,3.10%,12.50%,43.10%,29.00%,12.30%,2214,56,剧情/喜剧,香港 / 中国,粤语 / 汉语普通话,2009,87,48871.3
牧马人,4,6168,22.90%,52.30%,22.90%,1.50%,0.40%,1486,51,剧情/爱情,中国,汉语普通话,0,99,48727.2
陆小凤传奇之幽灵山庄,4,6551,13.50%,41.20%,40.40%,4.20%,0.70%,639,6,剧情/动作/冒险/武侠/古装,中国,汉语普通话,2007,95,47822.3
七天爱上你,3,7916,4.50%,16.20%,44.40%,24.40%,10.50%,1820,74,剧情/喜剧/爱情,中国,汉语普通话,2009,0,44329.6
陆小凤传奇之血衣之谜,4,5690,15.00%,42.80%,37.60%,3.80%,0.80%,562,5,剧情/动作/武侠/古装,中国,汉语普通话,0,95,41537
新街口,3,6219,8.20%,26.90%,47.50%,13.70%,3.70%,996,65,剧情,中国,汉语普通话,2006,90,39801.6
血战台儿庄,4,4647,36.50%,43.80%,18.00%,1.30%,0.40%,831,24,战争,中国,汉语普通话 / 日语,0,120,38570.1
生死劫,4,4929,21.00%,46.70%,27.40%,4.00%,0.90%,1156,79,剧情,中国,汉语普通话,2005,90,37953.3
火线追凶之血色刀锋,4,4445,22.50%,45.00%,29.10%,2.60%,0.70%,619,12,剧情/动作,中国,汉语普通话,2009,93,34226.5
神鞭,4,4953,10.40%,32.70%,50.60%,5.20%,1.10%,728,10,动作/历史/古装,中国,汉语普通话,0,95,34175.7
