ID,Movie_Name_EN,Movie_Name_CN,Crawl_Date,Number,Username,Date,Star,Comment,Like
308001,CUG King of Heroes,大圣归来,2017/1/3,15522,袭予,2015/8/29,3, 差点什么,0
308002,CUG King of Heroes,大圣归来,2017/1/3,15523,肉包,2015/8/29,4, 还行，但是感觉没网络说的那么神,0
308003,CUG King of Heroes,大圣归来,2017/1/3,15524,芮恩,2015/8/29,5, 小和尚萌的简直想把他脸捏红！！！悟空叔叔霸气的我一脸血！！！！！！！,0
308004,CUG King of Heroes,大圣归来,2017/1/3,15525,僵尸玩偶,2015/8/28,4, 七分吧，制作精良，画面优秀，但剧作上的缺陷实在太多了，分镜、剪辑、场景切换好多地方都是莫名其妙的。算合家欢电影，但给大人看始终还是有点隔阂了。,0
308005,CUG King of Heroes,大圣归来,2017/1/3,15526,似朵留白,2015/8/28,2, 周星驰电影的影子有点浓，然后没啥实在的内容，全程都在过场，最后变个身就完事儿了。,0
308006,CUG King of Heroes,大圣归来,2017/1/3,15527,Murlapp,2015/8/28,4, 還真可以,0
308007,CUG King of Heroes,大圣归来,2017/1/3,15528,上海滩大亨白相,2015/8/28,4, 希望,0
308008,CUG King of Heroes,大圣归来,2017/1/3,15529,WOW，女王！,2015/8/28,5, 除了中间汪峰那个突兀的BGM~一切堪称完美。。。给赞！,0
308009,CUG King of Heroes,大圣归来,2017/1/3,15530,海露,2015/8/27,4, 画质感人，故事一般。,0
308010,CUG King of Heroes,大圣归来,2017/1/3,15531,inraku,2015/8/27,3, 作为一部话题动画片，老实说，就凭这莫名其妙情节（尤其是那让人难为情的对白），这人物建模渲染（尤其是那生硬的毛发渲染），这声优（简直就是背课文），能得到那么高的评价，收获那么多的支持，可见我们观众对向来不争气的国产片已经包容到了什么程度…,0
308011,CUG King of Heroes,大圣归来,2017/1/3,15532,长风,2015/8/27,4, 唐僧变成了行侠仗义的江流儿，虽然话还是很多，但是很萌。妖怪不好看，就是游戏里面的形象，不过白龙真是霸气啊。说实话，电影没有我想象中的好，但是开头的音乐和中间孙悟空要爆发时候的配乐着实让我想念大话西游，,0
308012,CUG King of Heroes,大圣归来,2017/1/3,15533,琉璃湖畔,2015/8/27,5, 一只猪，哈哈哈哈哈哈哈,0
308013,CUG King of Heroes,大圣归来,2017/1/3,15534,pheatrics,2015/8/27,4, 对一个从小酷爱西游记的人来说，这片看完全是泪！孙悟空和白龙的造型非常用心啊，戏曲和民乐元素交织也很相得益彰！就是故事情节和反派造型还是缺少新意，加上让人出戏的汪峰和大话西游经典配乐，有种小心翼翼不敢突破的束缚感。,0
308014,CUG King of Heroes,大圣归来,2017/1/3,15535,真大土豪,2015/8/27,4, 诚意满满，国产动画中的佼佼者。画风独特，辨识度高，但剧情实在匮乏，总而言之值得鼓励，依然具备上升空间。,0
308015,CUG King of Heroes,大圣归来,2017/1/3,15536,花小柚,2015/8/27,3, 三星支持，颠覆原著剧情，但角色到一个不少，呼呼,0
308016,CUG King of Heroes,大圣归来,2017/1/3,15537,饭饭,2015/8/27,3, 不就是好莱坞那一套⋯⋯,0
308017,CUG King of Heroes,大圣归来,2017/1/3,15538,duduSophie,2015/8/27,2, 我觉得很一般啊 从故事到效果,0
308018,CUG King of Heroes,大圣归来,2017/1/3,15539,绿茶喝太多,2015/8/26,3, 效果配乐打斗俱佳，唯一不足只有剧情了。希望能再接再厉，创造属于中国的动画奇迹,0
308019,CUG King of Heroes,大圣归来,2017/1/3,15540,谷玄,2015/8/26,4, 诚意。剧情略薄。感情较浓烈直白。,0
308020,CUG King of Heroes,大圣归来,2017/1/3,15541,三味,2015/8/26,4, 每个人心中都有一个大圣，是自我的盖世英雄。情怀满满，但后段稍弱，有点意犹未尽之感。,0
308021,CUG King of Heroes,大圣归来,2017/1/3,15542,南小飞,2015/8/26,3, 作为国产动画来说制作比较有水准了，中间有一部分过场模仿疯狂原始人，但是五星还不值得,0
308022,CUG King of Heroes,大圣归来,2017/1/3,15543,lyn繁华,2015/8/26,3, 希望越大，失望越大，大圣画面制作精良但是故事太弱，喜欢大圣废柴大叔的人物设定，但是非常非常不喜欢江流儿这个人，几乎可以是我所有雷点的集合，烂好心拖后腿杰克苏傻白甜，整部电影只有最后两分钟感觉是真正想看的，可进步空间太大了,0
308023,CUG King of Heroes,大圣归来,2017/1/3,15544,freud,2015/8/26,3, 莫名其妙的剧情，画工很有诚意了,0
308024,CUG King of Heroes,大圣归来,2017/1/3,15545,nobody,2015/8/26,3, 还是属于很低龄化的动画。只能说宣传太强大，造就了国产动画票房的奇迹。,0
308025,CUG King of Heroes,大圣归来,2017/1/3,15546,Naomi,2015/8/26,3, 我觉得还好，当然，国产动画片能这样已经相当不错了，实在忍不了插曲是汪峰的歌，必须要提一下大圣形象太丑....蒙面人画风直接就是从动漫里跳出来的有没有！萌点笑点泪点无不效仿自皮克斯、梦工厂、迪士尼.....前四十分钟还是挺搞笑的,0
308026,CUG King of Heroes,大圣归来,2017/1/3,15547,贺昌,2015/8/26,5, 良心作,0
308027,CUG King of Heroes,大圣归来,2017/1/3,15548,whoamI,2015/8/26,4, 不是烂片，很传统的电影。,0
308028,CUG King of Heroes,大圣归来,2017/1/3,15549,老莫,2015/8/26,1, 无聊，剧本不行，说好看的真幼稚。,0
308029,CUG King of Heroes,大圣归来,2017/1/3,15550,泼墨造马追姑娘,2015/8/25,3, 中国传统文化可供题材真是太多了，用心做，相信每个人都能看见。大圣设定也是来了个总分总，引入架空线让人分外出离，结局boss弱爆了，妖怪竟然都一个样，八戒都出来了，没有三藏怎么搞基。不过画风真心用心了。,0
308030,CUG King of Heroes,大圣归来,2017/1/3,15551,啾咪,2015/8/25,3, 😐动画是做得很棒，可是故事……会不会太弱,0
308031,CUG King of Heroes,大圣归来,2017/1/3,15552,采菇凉的大蘑菇,2015/8/25,4, 自1964年之后国产动画二次复兴开山之作！希望后面的《王子与108煞》《疯狂的年兽》《龙在哪里》《小门神》不会让人失望,0
308032,CUG King of Heroes,大圣归来,2017/1/3,15553,双鱼桑,2015/8/25,5, 回国第一场电影。的确是国产动漫的良心之作，有笑有泪，赞！,0
308033,CUG King of Heroes,大圣归来,2017/1/3,15554,叁路,2015/8/25,3, 全片充斥着导演对排泄物的钟爱,0
308034,CUG King of Heroes,大圣归来,2017/1/3,15555,清真王贼膘,2015/8/25,4, 别跟我说什么特技突破啊，各种拼接啊之类的，爸爸看的开心就是千金不换。But，这突然间就结尾了，难道真的是经费问题么。。。,0
308035,CUG King of Heroes,大圣归来,2017/1/3,15556,yoyo,2015/8/25,4, 确实不错，有些段落模仿了功夫,0
308036,CUG King of Heroes,大圣归来,2017/1/3,15557,CJ,2015/8/25,2, 西游记里大圣帮唐僧是为了去紧箍咒，这里大圣为啥要帮孩子？友情是无理由的在一起后才有的，请告诉我一个理由,0
308037,CUG King of Heroes,大圣归来,2017/1/3,15558,穆清明,2015/8/25,5, 第一，会好好讲故事，改编也很棒。第二，真心节奏好，动作连贯，也没有照片摆拍似的慢动作。第三，人物设计都很棒。第四，配音到位，尤其吴先生一开口我都要疯了！整体说，没有那么特别好，但就是帅！都要帅冒烟了！,0
308038,CUG King of Heroes,大圣归来,2017/1/3,15559,谁是小泽,2015/8/25,5, 总觉得尾部不过瘾，刚到高潮又戛然而止。只有我一个人是这么人为的嘛,0
308039,CUG King of Heroes,大圣归来,2017/1/3,15560,雨天女士藍調,2015/8/25,3, 就还好吧,0
308040,CUG King of Heroes,大圣归来,2017/1/3,15561,Fan,2015/8/25,5, 必须为这帮中国动画人点赞，感谢你们像pixar、disney和日漫一样让我们的孩子们欢笑、勇敢,0
308041,CUG King of Heroes,大圣归来,2017/1/3,15562,Square,2015/8/25,4," 也就还行吧……但齐天大圣真是文学瑰宝,好好挖掘能产生很多好的作品…",0
308042,CUG King of Heroes,大圣归来,2017/1/3,15563,牛牛爷,2015/8/25,3, 感觉是周星驰大圣影子。加油国产动画,0
308043,CUG King of Heroes,大圣归来,2017/1/3,15564,孤枕难眠,2015/8/25,4, 有点意犹未尽,0
308044,CUG King of Heroes,大圣归来,2017/1/3,15565,Nicole Yan,2015/8/25,5, 国产有望 死亡蠕虫什么的暂且不论了,0
308045,CUG King of Heroes,大圣归来,2017/1/3,15566,Hancen,2015/8/24,4, 是一部合格的动画作品，但扔在这个充斥了各种剧情低幼画风粗糙动画电影的国度中，一下子就拨高不少。,0
308046,CUG King of Heroes,大圣归来,2017/1/3,15567,紫霞仙腿,2015/8/24,5, 最爱江流儿，果然还是正太控哦，哈哈,0
308047,CUG King of Heroes,大圣归来,2017/1/3,15568,唐婉不哭,2015/8/24,4, 自来水 尽管剧情缺失有硬伤  不过依然要支持下国产动漫,0
308048,CUG King of Heroes,大圣归来,2017/1/3,15569,Irelia,2015/8/24,4, 剧情一般，不过其他方面很出彩，音乐，特效，情节处理,0
308049,CUG King of Heroes,大圣归来,2017/1/3,15570,aiesson,2015/8/24,4, 期待过高了,0
308050,CUG King of Heroes,大圣归来,2017/1/3,15571,余二狗,2015/8/24,4, 那张海报就能诠释很多东西了,0
308051,CUG King of Heroes,大圣归来,2017/1/3,15572,狮心公爵,2015/8/24,4, 他是一位盖世英雄，有一天他会身披金甲圣衣，驾着七彩祥云来……,0
308052,CUG King of Heroes,大圣归来,2017/1/3,15573,拾光漫步,2015/8/24,3, 宣传大于实际表现，故事嗫弱,0
308053,CUG King of Heroes,大圣归来,2017/1/3,15574,Junde,2015/8/24,4, 国产低幼精品,0
308054,CUG King of Heroes,大圣归来,2017/1/3,15575,马库里贾耶斯,2015/8/24,2, 远不及众人吹嘘之优秀,0
308055,CUG King of Heroes,大圣归来,2017/1/3,15576,ewquyy,2015/8/24,5, 很少看动画片，被各种社交网络频繁安利，第一次走进影院看动画，惊喜连连，原来国产的动画制作水准也这么高了，故事虽然简单，但剧情和台词不低幼。希望各种西方的侠充斥荧幕的环境中大圣创出一片天。,0
308056,CUG King of Heroes,大圣归来,2017/1/3,15577,洋子子yoko,2015/8/24,5, 又帅又MAN又痞又有使命感，孙悟空是我新男神~~~,0
308057,CUG King of Heroes,大圣归来,2017/1/3,15578,小傻,2015/8/24,3, 印象中是看的第一部国产动画，确实有诚意，但是和好莱坞的巨大差距还是存在的。,1
