ID,Movie_Name_EN,Movie_Name_CN,Crawl_Date,Number,Username,Date,Star,Comment,Like
83001,Big Fish and Begonia,大鱼海棠,2017/1/2,29357,乳酸脱氢酶A,2016/10/21,5, 很好看啊,0
83002,Big Fish and Begonia,大鱼海棠,2017/1/2,29358,Chris,2016/7/9,4, 设定和画面都不错，比预期要好。不过剧情连续性较差，剪辑不是很好，故事略空也略尴尬，最后部分有煽情嫌疑。不喜欢老年版的配音。露的很多（误）。不过要比去年那个被传的超神的大圣归来要好很多，4星鼓励。,0
83003,Big Fish and Begonia,大鱼海棠,2017/1/2,29359,妖怪三,2016/7/9,2, 秋因为“好有趣”差点被蛇咬死那场戏，除了害死爷爷，到底还有什么作用？？？,2
83004,Big Fish and Begonia,大鱼海棠,2017/1/2,29360,PP杨,2016/7/9,2, 穿上了民国女学生限量皮肤的荆棘之兴愉快的参加了一年一度的成人礼。来到人间看见了浑身涂满不明白色黏浊物的男主与几条海豚上下翻飞变换不同体位好不快活！看得女主全身发红血脉喷张：“闰土！好软的筋骨！朕决定爱上你！”一场玛丽苏三角恋就此展开！两星是给画了许多大场景的美术组和电影配乐的。,0
83005,Big Fish and Begonia,大鱼海棠,2017/1/2,29361,Blaeberry_C,2016/7/18,2, 两星给音乐，一星给画面⋯⋯其他都特么是什么鬼东西！！！！！！！！什么脑残编剧写的故事～莫名其妙呀,0
83006,Big Fish and Begonia,大鱼海棠,2017/1/2,29362,EaStar,2016/7/10,3, 画面和配乐是绝对的加分项，但在剧情上不懂得取舍，该着墨的不怎么下笔，有的地方又有点矫情啰嗦，导致情感的积累断断续续，从而在理应的爆点处差一口气。过于庞大的背景设定与简单的核心剧情又存在落差。借着“一片春心付海棠”其实可以做的好很多，太可惜了。,0
83007,Big Fish and Begonia,大鱼海棠,2017/1/2,29363,隔壁老王,2016/10/27,3, 熊孩子成长记,0
83008,Big Fish and Begonia,大鱼海棠,2017/1/2,29364,托尼·基尔伯特,2016/7/23,2, 最后影片有个bug 男的没jj 女的没胸。然后画面真的不错，不过剧情嘛，哈哈哈。4星给画面，1星给剧情，还有恶心的2D强转3D,0
83009,Big Fish and Begonia,大鱼海棠,2017/1/2,29365,吃饼干,2016/7/9,1, 故事情节实在是太薄弱了。如此美的画面搭配这种故事情节，感觉好坏。,2
83010,Big Fish and Begonia,大鱼海棠,2017/1/2,29366,上汤娃娃,2016/10/13,4, 首次B站购片纪念,1
83011,Big Fish and Begonia,大鱼海棠,2017/1/2,29368,白熊,2016/7/10,3, 3星全给美术,0
83012,Big Fish and Begonia,大鱼海棠,2017/1/2,29369,薛凯琪.,2016/7/8,4, 特别喜欢这种感觉的动画片 想到了千与千寻 ,0
83013,Big Fish and Begonia,大鱼海棠,2017/1/2,29370,猫咪的假日,2016/7/8,2, 本来想给三星的，毕竟花了12年制作很不容易，但看完之后很压抑，错乱无逻辑的狗血俗烂剧情让心情不爽，实在给不了高分，很抱歉。我觉得不是动画人才断层导致中国动画不好，那些技术人才只能让优秀的作品锦上添花，但不会让无聊的剧情变的好看，好的故事好的创意才是真正能让作品成功的关键。,0
83014,Big Fish and Begonia,大鱼海棠,2017/1/2,29371,走失的茉莉,2016/7/8,5, 『豆瓣这分也太低了 改成五星支持 私以为或许我们认为的剧情弱是因为有些细节没有看明白』画面从第一秒就是美的，对这种融入了中国元素的色调没有抵抗力。但故事情节硬伤，椿是一个任性的小姑娘，后半场的眼泪也是给爷爷，奶奶，湫。影片最后的众筹名单很震撼，其实大家都很关心国漫的发展啊。,0
