ID,Movie_Name_EN,Movie_Name_CN,Crawl_Date,Number,Username,Date,Star,Comment,Like
0,Avengers Age of Ultron,复仇者联盟2,2017/1/22,1,然潘,2015/5/13,3, 连奥创都知道整容要去韩国。,2404
1,Avengers Age of Ultron,复仇者联盟2,2017/1/22,2,更深的白色,2015/4/24,2, 非常失望，剧本完全敷衍了事，主线剧情没突破大家可以理解，可所有的人物都缺乏动机，正邪之间、妇联内部都没什么火花。团结-分裂-团结的三段式虽然老套但其实也可以利用积攒下来的形象魅力搞出意思，但剧本写得非常肤浅、平面。场面上调度混乱呆板，满屏的铁甲审美疲劳。只有笑点算得上差强人意。,1231
2,Avengers Age of Ultron,复仇者联盟2,2017/1/22,3,有意识的贱民,2015/4/26,2, 2015年度最失望作品。以为面面俱到，实则画蛇添足；以为主题深刻，实则老调重弹；以为推陈出新，实则俗不可耐；以为场面很high，实则high劲不足。气！上一集的趣味全无，这集的笑点明显刻意到心虚。全片没有任何片段给我有紧张激动的时候，太弱了，跟奥创一样。,1052
3,Avengers Age of Ultron,复仇者联盟2,2017/1/22,4,不老的李大爷耶,2015/4/23,4, 《铁人2》中勾引钢铁侠，《妇联1》中勾引鹰眼，《美队2》中勾引美国队长，在《妇联2》中终于……跟绿巨人表白了，黑寡妇用实际行动告诉了我们什么叫忠贞不二；而且为了治疗不孕不育连作战武器都变成了两支验孕棒(坚决相信快银没有死，后面还得回来),1045
4,Avengers Age of Ultron,复仇者联盟2,2017/1/22,5,ZephyrO,2015/4/22,2, 虽然从头打到尾，但是真的很无聊啊。,723
5,Avengers Age of Ultron,复仇者联盟2,2017/1/22,6,同志亦凡人中文站,2015/4/22,3, 剧情不如第一集好玩了，全靠密集笑点在提神。僧多粥少的直接后果就是每部寡姐都要换着队友谈恋爱，这特么比打斗还辛苦啊，真心求放过～～～（结尾彩蛋还以为是洛基呢，结果我呸！）,671
6,Avengers Age of Ultron,复仇者联盟2,2017/1/22,7,Danny,2015/4/23,2, 只有一颗彩蛋必须降一星。外加漫威的编剧是有心无力了吧。复仇者联盟只能永远着手与团队的和与不和。这种东西重复到第二次就是隔了三年，还是心有余而力不足吧。只好来三个新成员，但是认真地，有必要加一条家庭线么？妇联以后也是要走赛车帮的，we are familly 路线？？？,641
7,Avengers Age of Ultron,复仇者联盟2,2017/1/22,8,gYroS,2015/4/28,2, 看腻了这些打来打去的烂片,576
8,Avengers Age of Ultron,复仇者联盟2,2017/1/22,9,tidd熊,2015/4/23,3, 漫威粉勿喷，真感觉比第一部差了些火候。没想到奥创竟然这么弱，出来失望之极。。。,481
9,Avengers Age of Ultron,复仇者联盟2,2017/1/22,10,桃桃淘电影,2015/5/12,3, 属于超级英雄的春晚，角色如走马灯一样出场。眼花缭乱的同时却没办法给人留下太深印象。这部内容实在太多了，这么多角色，各有黑暗历史，又为之后铺垫，弄得每个角色都很单薄。好在动作场面多，开场长镜头打斗还不错。看过也就看过了，没什么回味。几乎没有一场戏会让人觉得很嗨，很热血。,443
10,Avengers Age of Ultron,复仇者联盟2,2017/1/22,11,影志,2015/4/30,4, “一个没有黑暗面的人不值得信任。” 第二部剥去冗长的铺垫，开场即高潮、一直到结束，会有人觉得只剩动作特技，不过我还蛮吃这一套。联盟阵营“葫芦兄弟、八仙过海”式各显神通依然燃爆；“我有更好的理由不再生气”绿巨黑寡激萌的感情支线；快银兄妹的同情牌…4.27@台北日新威秀影城,381
11,Avengers Age of Ultron,复仇者联盟2,2017/1/22,12,玖萬,2015/5/12,2, 请漫威华丽地滚出电影界！每年都炮制出几部毫无营养千篇一律的流水线电影骗票房，刺激各种投机并扼杀原创电影的热情，简直就是电影业的祸害和毒瘤！,275
12,Avengers Age of Ultron,复仇者联盟2,2017/1/22,13,亵渎电影,2015/5/12,2, 承认这货很烂很难吗？混乱的节奏，人人都可能冒出来即兴插一腿，糟糕的3D也是毫无必要，就连特效大场面都没有什么令人惊艳的地方，其实这些都不重要了，我只想知道一点，黑寡妇下一部的时候会跟哪位队友搞暧昧？这种“白痴专供”片子如今算是彻底找到自己的死忠了，漫威可以继续一招鲜吃遍天了。★★,231
13,Avengers Age of Ultron,复仇者联盟2,2017/1/22,14,陀螺凡达可,2015/4/22,3, 跟第一部很不一样，叙事加强了不少，整个基调都更沉重黑暗，幽默和燃点也减少了，趣味性更是大减。总的来说整体并无惊喜，亮点也不多，但尾灯总算是完成了这个不可能的任务。相比较第一部刷了很多遍，这部一遍就够了。,228
14,Avengers Age of Ultron,复仇者联盟2,2017/1/22,15,别惹小白兔,2015/4/27,3, 漫威第二阶最中庸的一集。承上启下之作，完全是内战和复联3的超长预告片，奥创明显是为续集强加进来的反派，引入生硬。基调并不沉重，笑点不减反增，节奏和群戏倒真弱了不少，尤其是中间鹰眼家那一大段文戏满满尿点。PS：按照寡姐一部钓一个的节奏，下回绝逼轮到跟基妹争男人了~（波特曼一边玩去！）,270
15,Avengers Age of Ultron,复仇者联盟2,2017/1/22,16,高压电,2015/5/8,1, 什么破烂反派，毫无戏剧冲突能消耗两个多小时生命，还强加爱情戏。脑残片好圈钱倒是真的。,158
16,Avengers Age of Ultron,复仇者联盟2,2017/1/22,17,牛腩羊耳朵,2015/4/22,4, 总体来说没有达到第一部想让人立马二刷的体验，搞笑和燃度都有就是不够劲，应了续集电影的疲软定律。出场人物多到让人眼花撩乱，不过依然个个鲜明，Jarvis和Vison合体很惊艳，双胞胎戏份不多，widow和浩克的感情戏是最柔软的时刻，奥创存在感略低，妇联内斗戏不够激烈，队长脏话雷神锤子笑话贯穿始终。,165
17,Avengers Age of Ultron,复仇者联盟2,2017/1/22,18,文文周,2015/4/24,5, 机甲之战超超好看，比变形金刚强；人，神，变异人，人工智能互殴，强强强强；每一小段末句都是槽或者笑点，应该死了不少编剧；Jane不来客串，雷神没露，扣分；女神配怪兽，fair enough；美国队长我最喜欢他的盾，大概因为紫龙；难得人物多次发表演讲还不死；最后，找到了下半年新发型，开心！,182
18,Avengers Age of Ultron,复仇者联盟2,2017/1/22,19,抽先桑,2015/4/29,2," 结局就差寡姐握着绿巨人的手说：”我的意中人是一个盖世英雄，有一天他会turn green来救我，我猜中了这开头，没猜中这结局......""",153
19,Avengers Age of Ultron,复仇者联盟2,2017/1/22,20,时间的玫瑰,2015/4/23,4, 全程挥之不去美队的胸和banner的胸……毛。人物太多感情的处理不够细腻是一定的啦。凭良心讲，就看这电影里的剧情，再怎样黑寡也不可能算是slut，采访里面CE和JR简直糟糕。对看超级英雄系列片的热情开始减弱了，虽然俺看这种片子丝毫无惧于剧透，还是想对某说，一句短评就剧透的，有什么病啊！,144
20,Avengers Age of Ultron,复仇者联盟2,2017/1/22,21,随时流感,2015/4/28,2, 奥创弱爆了弱爆了弱爆了啊！！！！！！,120
21,Avengers Age of Ultron,复仇者联盟2,2017/1/22,22,雨木木,2015/4/23,5, 说实话其实剧情就那样吧，非漫威粉看着可能有的地方会get不到G点吧。（其实漫威卖的不是剧情而是人物和世界观呀，漫威宇宙棒棒哒）但对于漫威粉来说真是全程高能+IMAX燃爆啊！#漫威大法好#,90
