ID,Movie_Name_EN,Movie_Name_CN,Crawl_Date,Number,Username,Date,Star,Comment,Like
990000,Operation Mekong,湄公河行动,2017/3/1,20217,Cloud,2016/10/7,5, 推荐,0
989550,Operation Mekong,湄公河行动,2017/3/1,19762,CCstep,2016/10/8,3, 真实事件改编，中国公安宣传片。反派低智低能，弱鸡。M,0
989551,Operation Mekong,湄公河行动,2017/3/1,19763,丢十三,2016/10/15,4, 燃燃燃，向所有缉毒警察叔叔们致敬，是他们用同样宝贵的生命保护我们国土与人民的安全！！,0
989552,Operation Mekong,湄公河行动,2017/3/1,19764,MY,2016/11/27,3, 这么好的题材 拍的写实点吗 不够震撼 太浪漫,0
989553,Operation Mekong,湄公河行动,2017/3/1,19765,bao,2017/2/18,4, 看的小心脏都跳出来了，紧张刺激,0
989554,Operation Mekong,湄公河行动,2017/3/1,19766,见片鬼。,2016/10/7,4, 有些东西交代的太坑爹了…一眼看出太假…,0
989555,Operation Mekong,湄公河行动,2017/3/1,19767,gosling女儿,2016/10/3,3, 剧情太简单了,0
989556,Operation Mekong,湄公河行动,2017/3/1,19768,雨落summer,2016/10/16,4, 动作戏很精彩！,0
989557,Operation Mekong,湄公河行动,2017/3/1,19769,小胡豆君无奈,2016/10/7,5, 别买爆米花了！没时间吃！,0
989558,Operation Mekong,湄公河行动,2017/3/1,19770,Amos,2016/10/7,5, 全程捂嘴揪心。。。,0
989559,Operation Mekong,湄公河行动,2017/3/1,19771,七十二路,2016/10/4,1, 节奏混乱、剧本台词烂、演员一开口就出戏、莫名其妙地飞车等bug、林超贤狗带,0
989560,Operation Mekong,湄公河行动,2017/3/1,19772,小圆子ce,2016/12/3,4, Man感且不作，小彭和张涵予搭戏不错，听得出来口音也特别调整过，赞之！哮天是亮点！,0
989561,Operation Mekong,湄公河行动,2017/3/1,19773,千层面与G猫,2016/10/4,3, 主旋律电影很正能量的,0
989562,Operation Mekong,湄公河行动,2017/3/1,19774,yangweivv2012,2016/10/15,5, 硬！,1
989563,Operation Mekong,湄公河行动,2017/3/1,19775,鱼雷,2016/10/27,5, 国产电影也能拍出进口大片的感觉，虽然略有夸大，但从电影角度看，国产片已经是非常经典了，甚至可以用里程碑形容。看惯了外国那种英雄主义，也习惯了国产的干打不死，总算有个像样的片拿得出手了。经典,0
989564,Operation Mekong,湄公河行动,2017/3/1,19776,顾小坏,2016/10/2,4, 湄公河案一段真相应该非常残忍而艰难！流血牺牲国恨家仇，这些看片之前已猜到一二，电影制作团队不能说不努力，但整个过程更像流水账，呈现力真的较港片有段距离，精彩差了一个度，就像做爱兴奋有余就是到不了高潮！鼓励中国电影的进取，给四星,0
989565,Operation Mekong,湄公河行动,2017/3/1,19777,eeeeeev,2016/10/1,4, 节奏速驰有度，故事顺畅。武戏设置合理、丰富，不会因为篇幅多而审美疲劳。文戏稍显欠缺，但因为湄公河事件的缘故完全可以脑补。虽然没有多出彩，但是完全值得票价。,0
989566,Operation Mekong,湄公河行动,2017/3/1,19778,瓦达西瓦潘达桑,2016/10/3,4, 留给我最深的印象就是，好看到让我憋了两个小时的尿生怕错过什么细节！,0
989567,Operation Mekong,湄公河行动,2017/3/1,19779,苏酒,2016/10/13,4, 其实我是冲着宝国大叔去的，片子没让我失望，能把主旋律的片子拍成这样真的很不错了,0
989568,Operation Mekong,湄公河行动,2017/3/1,19780,萌白萌白喵,2016/10/8,3, 拍的的确不错，喜欢张涵予。加油！看好票房大爆,1
989569,Operation Mekong,湄公河行动,2017/3/1,19781,Ivangel,2016/10/8,3, ss in 宁德万达  看的4D  哈哈  剧本弱了点,0
989570,Operation Mekong,湄公河行动,2017/3/1,19782,亚麻桑,2016/10/1,4, 管它什么旋律还挺燃的槽点是大 boss虽然狡猾但有点蠢啊有木有最大的bug 是情报人员长得这么帅居然撕了个胡子就不认得了果然还是大 boss蠢系列啊,0
989571,Operation Mekong,湄公河行动,2017/3/1,19783,牛奶与煎蛋,2016/10/3,4, 一部实力拔草东南亚游的电影 虽然最后看起来貌似有人狗带了但是这种结局还蛮开放性的 或许他只是受伤了呢~~,0
989572,Operation Mekong,湄公河行动,2017/3/1,19784,总有一种心动,2016/10/6,4, 泰国这些是演的毒枭还是真毒枭！路人演得真好！,0
989573,Operation Mekong,湄公河行动,2017/3/1,19785,nishittd,2016/10/2,5, 枪战全程瞩目！影帝张气质瞩目,0
989574,Operation Mekong,湄公河行动,2017/3/1,19786,拉格朗没有日,2017/2/4,3, 有点个人英雄主义太重了,0
989575,Operation Mekong,湄公河行动,2017/3/1,19787,猫猫淘淘,2016/11/12,5, 好片。,0
989576,Operation Mekong,湄公河行动,2017/3/1,19788,梵絮,2016/10/3,4, 当警察好辛苦…我们的太平可都是他们拼命换来的,0
989577,Operation Mekong,湄公河行动,2017/3/1,19789,飞万里,2016/12/31,1, 抛开事件本身及民族情结。单看电影故事结构，导演你真的是偷懒了！！！,0
989578,Operation Mekong,湄公河行动,2017/3/1,19790,OT元旦,2016/10/5,4, 硬片,0
989579,Operation Mekong,湄公河行动,2017/3/1,19791,墨迹,2016/10/7,3, 看到评分很高过去看的，结果没有达到预期，故事情节还是硬伤，不过已经做到环环相扣没有多余内容已经是国产不错的作品了。,0
989580,Operation Mekong,湄公河行动,2017/3/1,19792,邮差麥來乱,2017/1/15,4, 为国产电影的进步点赞,0
989581,Operation Mekong,湄公河行动,2017/3/1,19793,某小丫,2016/10/22,1, 太差了,0
989582,Operation Mekong,湄公河行动,2017/3/1,19794,秋  源,2016/11/5,5, 有一瞬曾在好莱坞主旋律的获得的快感在中国的大荧幕前感受到了,0
989583,Operation Mekong,湄公河行动,2017/3/1,19795,夜叉,2016/10/17,4, 盛世之下，禹禹独行。,0
989584,Operation Mekong,湄公河行动,2017/3/1,19796,离群索居,2016/10/13,5, 太爷们，太燃了。,1
989585,Operation Mekong,湄公河行动,2017/3/1,19797,里头白,2016/10/3,5, 看了婆婆的影评再追加一星，彭于晏感觉得到在认真演戏，台湾腔好像都少了很多，看得出来有在练台词,0
989586,Operation Mekong,湄公河行动,2017/3/1,19798,蔷薇岛屿,2016/10/29,5, 主旋律缉毒枪战片，本年度五星观影体验，全程无尿点。打斗场面超级燃，哮天犬和晏晏特别帅！！！但是最后死了好可惜…观影过程中觉得这部电影特别有好莱坞风格：团队作战，队员之间互相开玩笑。主角光环，以及配角铺垫一多，第二天的作战当中就要壮烈牺牲……总的来说，有血性也有意思。,0
989587,Operation Mekong,湄公河行动,2017/3/1,19799,陶瓷烫玉米花,2016/10/5,4, 国产良心片，剧情紧凑刺激,0
989588,Operation Mekong,湄公河行动,2017/3/1,19800,薆的发声练习,2016/10/16,4, 作为真实案例，肯定是不错的~~,0
989589,Operation Mekong,湄公河行动,2017/3/1,19801,点墨,2016/9/30,4, 國慶檔最佳。,0
989590,Operation Mekong,湄公河行动,2017/3/1,19802,早已离藏,2016/10/18,5, 被评论惹的终于去拔草！血喷溅的有点假 颜色太过浓郁 别的都剪的好紧凑看的好爽啊！尤其是宝贝在怀里的感觉！哈哈哈哈 虽是2d值得进影院！,1
989591,Operation Mekong,湄公河行动,2017/3/1,19803,Kevin Hou,2016/10/6,5, 太久没看过这么好看的国产电影了,0
989592,Operation Mekong,湄公河行动,2017/3/1,19804,Ethan7594,2016/10/3,4, 很难想象忽然会有一部这样题材的电影主流电影在大陆成功上映了，林超贤果然厉害，集合了大部分优秀警匪片的特质，最后演变成战争大片，实在是燃爆   同样对湄公河 金三角地区的写照太真实...  不过彭于晏还是需要磨练，和张涵予对戏不落下风也差距明显。  总体真的值回票价，很精彩！,1
989593,Operation Mekong,湄公河行动,2017/3/1,19805,只为你热,2016/12/13,4, 因为是一部改编真实案件的片子，更让人犹生敬佩之意,0
989594,Operation Mekong,湄公河行动,2017/3/1,19806,阿眠w,2016/10/9,4, 因为害怕看到血和尸体很少看这种类型电影 朋友推荐下一起看了 意外的好看…,0
989595,Operation Mekong,湄公河行动,2017/3/1,19807,叶离,2016/9/30,4, 热血激烈啊！,0
989596,Operation Mekong,湄公河行动,2017/3/1,19808,独秀,2016/10/14,4, 看在是国产片的份上，给四星。从头打到尾，文戏基本没有。主要是看得不够爽。估计多给点感情戏更好,0
989597,Operation Mekong,湄公河行动,2017/3/1,19809,vivian,2016/10/22,4, 被哮天迷的不要不要的~,0
989598,Operation Mekong,湄公河行动,2017/3/1,19810,巨蟹守望者,2016/10/8,4, 尺度大的惊人……这剧本要是让广电把关估计早就被删成鸡肋了,0
989599,Operation Mekong,湄公河行动,2017/3/1,19811,荷叶斑斑,2016/10/11,5, 近年来不可多得的国产好电影，剧情张力十足，有动作，却不宣兵夺主；两男主演技爆棚；林导的镜头语言表现力出色！,2
989600,Operation Mekong,湄公河行动,2017/3/1,19812,长岛的雪,2016/11/15,4, 不是很喜欢这种类型，说好了四国联合作战除了中国人都去哪了？本来两星，难得见到主角死的，多给了两星。,0
989601,Operation Mekong,湄公河行动,2017/3/1,19813,周杰伦and潘之琳,2016/10/3,5, 震撼,0
989602,Operation Mekong,湄公河行动,2017/3/1,19814,莹sama,2016/10/18,4, 还不错,0
989603,Operation Mekong,湄公河行动,2017/3/1,19815,ZOY,2016/10/13,4, 真实感不错，看荒野猎人不怎么害怕，这部看开头，估计是音效问题还是比较忐忑，直接忽略不看。不过嘛，其实也就差不多吧，展现国力而已…,0
989604,Operation Mekong,湄公河行动,2017/3/1,19816,胡萝卜喂神马,2016/10/14,4, 犯我中华者，虽远必诛。,0
989605,Operation Mekong,湄公河行动,2017/3/1,19817,yikes,2016/10/13,5, bang~!,1
989606,Operation Mekong,湄公河行动,2017/3/1,19818,三岔口_LK,2016/10/23,4, 不要推敲剧情,0
989607,Operation Mekong,湄公河行动,2017/3/1,19819,我不爱你,2016/11/12,4, 镜头平实，不矫揉造作，不刻意煽情。场面火爆。,0
989608,Operation Mekong,湄公河行动,2017/3/1,19820,摩天居士,2016/10/9,5, 当年的一则新闻，背后是无法想象的惊心动魄与枪林弹雨，向奋斗在一线的缉毒警察致敬！全程无尿点，非常精彩,0
989609,Operation Mekong,湄公河行动,2017/3/1,19821,M熊,2016/10/12,4, 在身后一直聊天的两位大妈，是我成长的反面教材。我想，我一定不会变成那样，在电影无比肃穆和感动的时候，谈笑不断。,1
989610,Operation Mekong,湄公河行动,2017/3/1,19822,丶萧剑枫,2016/10/8,4, 算国产里面还不错的啦,0
989611,Operation Mekong,湄公河行动,2017/3/1,19823,장소부,2016/10/6,4, 张涵予两星 彭于晏一改口音就像念稿子,0
989612,Operation Mekong,湄公河行动,2017/3/1,19824,大胜,2016/10/8,4, 这算是今年国内最好的动作片甚至最好的影片了吧，以电影的方式来记录真实的事件，也是学习历史的一种方式，让更多的人了解这段历史，明白我们的生命安全来之不易，明白我们身后有一个强大的祖国在支持，这种爱国教育比教科书强多了啊。,0
