ID,Movie_Name_EN,Movie_Name_CN,Crawl_Date,Number,Username,Date,Star,Comment,Like
216001,Chinese Zodiac,十二生肖,2017/1/7,14162,卓西,2013/1/3,4, 树林里的好看 后面的一般,0
216002,Chinese Zodiac,十二生肖,2017/1/7,14163,嘣儿,2012/12/23,3, 这是向碟中谍致敬的 Technique does Movie 贺岁有余意味不足,0
216003,Chinese Zodiac,十二生肖,2017/1/7,14164,墨鱼,2012/12/23,4, 3D有点差。,0
216004,Chinese Zodiac,十二生肖,2017/1/7,14165,pretend,2012/12/21,5, 确实是成龙的诚意之作呀,0
216005,Chinese Zodiac,十二生肖,2017/1/7,14166,白小畅,2013/1/13,1, 情节糟糕，线索混乱。用烂片向那么多人致敬，也拿得出手？,0
216006,Chinese Zodiac,十二生肖,2017/1/7,14167,Phil.W,2013/8/17,3, 这是一部标准的成龙电影，加上了中外美女、爱国和高科技元素……看在片头的高科技滑轮和片尾的空中打斗的份上，片子还算是有亮点。另外两个新人美女不错，乍一看像刘诗诗……,0
216007,Chinese Zodiac,十二生肖,2017/1/7,14168,张智霖老婆,2013/1/9,4, 比我想象的要好很多。~话说廖凡在这么多大片中打了这么久酱油了怎么还没有独挑大梁！爱他啊！,0
216008,Chinese Zodiac,十二生肖,2017/1/7,14169,蓝色拉丁,2012/12/22,3, 老实说，打得还比较凶,0
216009,Chinese Zodiac,十二生肖,2017/1/7,14170,开心的笑笑,2013/5/29,3, 成龙一直是这个风格,0
216010,Chinese Zodiac,十二生肖,2017/1/7,14171,Daisy,2013/1/6,5, 之前一直很信任豆瓣上关于电影的评分，现在发现很多人是在捣乱。我觉得这部电影挺好看的，元旦和男友、朋友一起去看的，大家看得都很开心。,0
216011,Chinese Zodiac,十二生肖,2017/1/7,14172,yeyuda,2013/1/17,3, 有些情节、对白完全把入戏后抽出来。。。你会整天把爱国挂在嘴边吗？剧情脑残，动作加分！,0
216012,Chinese Zodiac,十二生肖,2017/1/7,14173,__木子玫,2012/12/23,3, 可能期望值比较低竟然觉得出乎意料好看。吴彦祖出现时候简直大叫。,0
216013,Chinese Zodiac,十二生肖,2017/1/7,14174,洋洋洒洒,2013/1/27,4, 向60岁了依然拼命打斗的成龙大哥敬礼！,0
216014,Chinese Zodiac,十二生肖,2017/1/7,14176,曦阳浅浅,2012/12/23,3, 好吧，从飞龙在天开始有点意思，最后有个连续的小惊喜。但是，那么不成熟的技术还非得拍3d，效果很无语,0
216015,Chinese Zodiac,十二生肖,2017/1/7,14177,老猫Terry,2013/1/16,3, 想给两星的，在网上看的，想去支持下票房的，但是去了约村的电影院一问，人家根本不上映，乐了一下，剩下就是各种觉得这个电影傻X,0
216016,Chinese Zodiac,十二生肖,2017/1/7,14178,星星歌后,2012/12/23,4, 成龙大叔真卖力~,0
216017,Chinese Zodiac,十二生肖,2017/1/7,14179,Olivia,2013/1/19,2, 弱,0
216018,Chinese Zodiac,十二生肖,2017/1/7,14180,GrayF,2013/1/2,3, 看看还行，剧情紧凑，画面也还OK，只是里面的女演员，除了法国内个其他都弱爆了！完！全！没！有！演！技！可！言！,0
216019,Chinese Zodiac,十二生肖,2017/1/7,14181,话不多,2013/2/10,2, 昨儿看的挺渣的都懒得更。。亲爱的豆瓣er有怎样的成龙情节，这样都给到7分。。,0
216020,Chinese Zodiac,十二生肖,2017/1/7,14182,猫大妞,2012/12/21,4, 全场惊呼两次，第一次是权相宇出场，第二次是女女单打（这个比男男单打好看多了），这两点都是我这种肤浅的外貌协会会员才喜欢的。很多地方剧情交代的乱七八糟，3D效果也一般，但作为一部典型成龙式贺岁动作喜剧，算很好看的啦，有一点点碟中谍的影子！,0
216021,Chinese Zodiac,十二生肖,2017/1/7,14183,Jess,2012/12/25,3, 权相宇身材不错,0
216022,Chinese Zodiac,十二生肖,2017/1/7,14184,被抛弃的特洛,2013/1/8,3, 某些片段情节让我想起小时候看成龙电影的场景 但只限于某些 影片整个属于前言不搭后语的状态 不知道为什么影片透出的爱国主义让许多人反感 这个有必要么  最后的天上大战还是挺精彩的,0
216023,Chinese Zodiac,十二生肖,2017/1/7,14185,小蓝海豚,2013/1/24,4, 大哥能持续自己的拍摄风格让人很佩服啊,0
216024,Chinese Zodiac,十二生肖,2017/1/7,14186,闷无端.,2016/4/30,4, 成龙十二生肖喜剧动作3d香港冒险2012中国大陆剧情烂片贺岁,0
216025,Chinese Zodiac,十二生肖,2017/1/7,14187,差不多小姐,2013/7/19,4, 权相宇真帅~~~~~,0
216026,Chinese Zodiac,十二生肖,2017/1/7,14188,dongeliu,2012/12/29,3, 大哥就是大哥，叫谁捧场谁捧场哇。我旁边一个女孩就惊呼：这不是李大仁么！比较起来我就很弱了，那么多养眼的美女一个也叫不上名字。另：人类重生刚好一周，看来会更加和平的吧！,0
216027,Chinese Zodiac,十二生肖,2017/1/7,14189,super Mario,2013/1/2,1, 坑爹的爱国主义教育片满是极端民族主义的教唆。。。,0
216028,Chinese Zodiac,十二生肖,2017/1/7,14190,pudding求好运,2012/12/29,4, 有动作，有剧情，有笑点，还有吴彦祖！！！！！！还有老妈的偶像林凤娇,0
216029,Chinese Zodiac,十二生肖,2017/1/7,14191,K,2012/12/21,1, 全片讲大道理，扭曲的奇怪的价值观，80年代的港片笑点早已挤不出一丝微笑。,0
216030,Chinese Zodiac,十二生肖,2017/1/7,14192,舒米zwc,2013/4/6,4, 欢快就够了,0
216031,Chinese Zodiac,十二生肖,2017/1/7,14193,twoheart,2013/1/19,3, 有看成龙90年代电影的感觉，还好，虽然价值观不赞同。,0
216032,Chinese Zodiac,十二生肖,2017/1/7,14194,RTT,2013/8/1,3, 飞机上看的（AA的电影实在是够烂的。。。）终于知道王力宏那个十二生肖的出处。。。我觉得还蛮好笑的，看着看着自己咯咯笑起来了（还好我旁边没人），动作轻喜剧，做成这样也就不错了，虽然结尾那段怎么有种贺岁片的乱入感。。。。,0
216033,Chinese Zodiac,十二生肖,2017/1/7,14195,小乙,2013/8/6,4, 还不错,0
216034,Chinese Zodiac,十二生肖,2017/1/7,14196,刘畅团子,2013/1/18,4, 很好哎，完全没有以老卖老，是诚意十足的电影。虽然有一点《神话》的即视感，但是突破不少啊。武打不说了保持一向高水准，高科技亮眼，尤其场景布置的效果提高最明显，绝对大片儿范儿。豆瓣上前段时间的分数一定是被五毛黑了，起码回到7.5~7.6才是正常水平好不好！,0
