ID,Movie_Name_EN,Movie_Name_CN,Crawl_Date,Number,Username,Date,Star,Comment,Like
490124,Goodbye Mr. Loser,夏洛特烦恼,2017/1/6,34051,粟伊,2015/12/5,3, 哥哥的歌一唱我就要抖一抖了。星星全给怀旧风。,0
490125,Goodbye Mr. Loser,夏洛特烦恼,2017/1/6,34052,KH红彤彤,2016/3/27,4, 还不错的爱情伦理片，王老师I am a teacher 严重加分！,0
490126,Goodbye Mr. Loser,夏洛特烦恼,2017/1/6,34053,又寂寞又美好,2015/12/26,4, 有泪点 有笑点 足矣,0
490127,Goodbye Mr. Loser,夏洛特烦恼,2017/1/6,34054,想走却迈不开步,2015/9/27,5, 没看过话剧，但觉得电影改编的不错，效果特别好，算是青春片吧，每个那个年纪的人都有一个想回到过去的愿望，虽然知道不能实现，但做梦就是美好，黄粱一梦之后才知道现实才是适合自己的,0
490128,Goodbye Mr. Loser,夏洛特烦恼,2017/1/6,34055,在路旁,2015/12/30,5, 笑中带泪 勾起青春的回忆 好想也能重来一次18岁,0
490129,Goodbye Mr. Loser,夏洛特烦恼,2017/1/6,34056,angelzaq,2015/12/6,1, 尹正的一剪梅和老师的为人师表是我的唯二笑点。李安有才华愿意努力值得老婆养他七年，夏洛天天躺尸马东梅就该痛快地将其扫地出门过自己的美好人生才对 。夏洛重活一次还是白费。,0
490130,Goodbye Mr. Loser,夏洛特烦恼,2017/1/6,34057,佳人,2016/1/23,2, 三观非常恶心，不知道是不是因为男主的人品，让我觉得更加不喜欢这电影,0
490131,Goodbye Mr. Loser,夏洛特烦恼,2017/1/6,34058,小瓶盖儿,2015/10/3,4, 挺好的,0
490132,Goodbye Mr. Loser,夏洛特烦恼,2017/1/6,34059,EeevaaA,2016/1/4,1, 夏洛特恶心,0
490133,Goodbye Mr. Loser,夏洛特烦恼,2017/1/6,34060,子Vvv,2015/10/1,3, 这种玩穿越然后怀旧玩得还挺好的哦 搞笑的梗全部都是那种反差的哏 国产喜剧爱情片如果都能拍成这样还挺好的 三星半,0
490134,Goodbye Mr. Loser,夏洛特烦恼,2017/1/6,34061,小企,2015/10/9,5, 好长的小品呐~,0
490135,Goodbye Mr. Loser,夏洛特烦恼,2017/1/6,34062,陳無力||,2015/10/1,4, 有让我发自内心地在影院的陌生人中间笑出声来,0
490136,Goodbye Mr. Loser,夏洛特烦恼,2017/1/6,34063,南宫叙事,2016/2/14,5, 笑料开怀,0
490137,Goodbye Mr. Loser,夏洛特烦恼,2017/1/6,34064,蝉鸣的夏季,2015/10/30,3, 一般般啦～,0
490138,Goodbye Mr. Loser,夏洛特烦恼,2017/1/6,34065,0.o.O,2015/12/26,3, 青春怀旧剧，已无感,0
490139,Goodbye Mr. Loser,夏洛特烦恼,2017/1/6,34066,jennifer,2015/10/7,4, 笑死我了哈哈哈哈哈哈哈也有点感人推荐,0
490140,Goodbye Mr. Loser,夏洛特烦恼,2017/1/6,34067,Jonas,2015/10/28,3, 这SB电影终于下8分了,0
490141,Goodbye Mr. Loser,夏洛特烦恼,2017/1/6,34068,嘎嘣嘎嘣年大糕,2015/10/18,5, 基本零宣传 完全不是国产片的粗制滥造 很惊喜,0
490142,Goodbye Mr. Loser,夏洛特烦恼,2017/1/6,34069,悟俗道长,2016/2/20,1, 不知道我的同学们好笑在哪里？意淫？渣男？,0
490143,Goodbye Mr. Loser,夏洛特烦恼,2017/1/6,34070,暖媛媛,2016/1/20,5, 青春是回不去的美好,0
490144,Goodbye Mr. Loser,夏洛特烦恼,2017/1/6,34071,Mr.伯恩,2015/10/3,5, 怦然心动+居家男人,0
490145,Goodbye Mr. Loser,夏洛特烦恼,2017/1/6,34072,翠花上酸菜1986,2015/11/7,5, 如果有机会重新来过，我想我还是会选择原来的路，因为这样做的不确定风险最低，不需要像夏洛那样管张扬叫爸。,0
490146,Goodbye Mr. Loser,夏洛特烦恼,2017/1/6,34073,in'杰,2015/12/9,4, 笑中带有讽刺,0
490147,Goodbye Mr. Loser,夏洛特烦恼,2017/1/6,34074,marss,2015/9/30,4, 没有很好笑 不过有些地方还是走心,0
490148,Goodbye Mr. Loser,夏洛特烦恼,2017/1/6,34075,懒君宝哥哥,2015/10/2,5, 今年最佳！泪点忍住了，笑点根本把持不住！,0
490149,Goodbye Mr. Loser,夏洛特烦恼,2017/1/6,34076,Claire,2015/10/29,3, 尼古拉的假期打了三星，这个真是不值三星，没有传的那么好看，笑点也是还好而已。,0
490150,Goodbye Mr. Loser,夏洛特烦恼,2017/1/6,34077,游无疆,2015/12/8,4, 乐呵怀旧带感动，这逼真的梦我给8分。,0
490151,Goodbye Mr. Loser,夏洛特烦恼,2017/1/6,34078,小小先生,2015/12/4,3, 完美白日梦,0
490152,Goodbye Mr. Loser,夏洛特烦恼,2017/1/6,34079,淑墨白,2015/11/29,3, 笑话不错、可惜片子故事老套、很多衔接太硬,0
490153,Goodbye Mr. Loser,夏洛特烦恼,2017/1/6,34080,amber,2015/10/21,5, 笑中带泪、特别有感触，还好，我不后悔,0
490154,Goodbye Mr. Loser,夏洛特烦恼,2017/1/6,34081,黑猫,2015/10/9,4, 很让人眼前一亮的青春片，竟然用穿越的方式来讲青春片很有创意,0
490155,Goodbye Mr. Loser,夏洛特烦恼,2017/1/6,34082,王妄妄,2015/10/4,4, 笑点密集，不低俗，赞。,0
490156,Goodbye Mr. Loser,夏洛特烦恼,2017/1/6,34083,timing,2015/10/21,5, 爱上开心麻花剧组,0
490157,Goodbye Mr. Loser,夏洛特烦恼,2017/1/6,34084,羊扭扭,2015/10/17,4, 挺喜欢开心麻花的，但是不喜欢沈腾，全片很好笑但是男主长得太老，演高中生实在无法接受。,0
490158,Goodbye Mr. Loser,夏洛特烦恼,2017/1/6,34085,Summer-Qīng,2015/10/11,4, 可惜现实给不了你重来的机会，等你觉醒时通常已经来不及了,0
490159,Goodbye Mr. Loser,夏洛特烦恼,2017/1/6,34086,摆渡人,2016/1/17,5, 讲道理，五星给火之前的剧情。会不会有一天，时间真的能倒退。,0
490160,Goodbye Mr. Loser,夏洛特烦恼,2017/1/6,34087,天堂导师马克斯,2015/10/3,5, 值得去电影院看的一部颇有深度的喜剧片，相信很多人的笑声中也带着泪水。,0
490161,Goodbye Mr. Loser,夏洛特烦恼,2017/1/6,34088,这么久,2016/9/12,5, 为什么评分这么低,0
490162,Goodbye Mr. Loser,夏洛特烦恼,2017/1/6,34089,clementine,2015/11/1,5, 笑翻,0
